error,latency
6.903333333333322,17.714052200317383
11.955000000000013,18.8975191116333
12.026666666666657,22.511796951293945
12.533333333333346,27.272396087646484
11.376666666666665,24.634485244750977
6.803333333333342,22.26672649383545
6.943333333333328,22.85543918609619
10.836666666666659,19.551639556884766
12.413333333333341,14.732122421264648
11.060000000000002,21.80471420288086
9.995000000000005,14.618043899536133
9.463333333333324,22.16651439666748
7.533333333333346,19.996051788330078
10.420000000000002,20.242223739624023
6.730000000000004,18.302435874938965
8.700000000000003,21.95976734161377
10.613333333333344,20.71082592010498
6.490000000000009,20.91287136077881
10.473333333333343,18.108129501342773
10.626666666666665,22.232670783996582
11.126666666666665,16.518168449401855
10.50333333333333,13.053140640258789
9.723333333333343,18.24728488922119
10.686666666666667,26.993155479431152
14.023333333333355,20.652308464050293
43.81666666666666,21.581311225891113
10.566666666666677,22.996578216552734
11.15666666666668,16.558871269226074
8.476666666666645,25.302419662475586
13.046666666666667,16.41087055206299
31.656666666666652,21.45312786102295
11.156666666666652,16.19227409362793
12.015,18.767681121826172
8.740000000000009,22.4985408782959
10.519999999999996,13.067584037780762
9.736666666666679,22.900514602661133
8.614999999999995,27.33607292175293
11.319999999999993,17.364988327026367
12.930000000000007,16.413540840148926
12.350000000000009,13.753623962402344
13.623333333333335,10.687804222106934
11.66000000000001,19.840025901794434
13.549999999999997,10.658411979675293
13.616666666666674,23.373737335205078
13.11333333333333,20.357651710510254
9.983333333333334,22.056021690368652
15.680000000000007,9.829578399658203
8.066666666666663,15.047893524169922
14.813333333333333,20.68355083465576
10.606666666666683,13.185839653015137
8.083333333333329,17.729568481445312
11.053333333333342,19.717063903808594
10.329999999999998,12.967567443847656
53.75333333333333,24.976162910461426
9.990000000000009,23.317666053771973
10.553333333333342,18.55739116668701
10.790000000000006,17.270407676696777
6.403333333333322,20.797276496887207
46.53666666666667,21.082634925842285
7.545000000000002,21.98387622833252
7.916666666666671,17.80665874481201
10.353333333333339,15.667195320129393
12.939999999999998,20.6135892868042
9.570000000000007,16.339035034179688
31.560000000000002,13.164081573486328
13.236666666666679,16.00581645965576
13.544999999999987,14.828481674194336
7.923333333333332,21.770386695861816
21.266666666666666,19.898371696472168
6.546666666666667,20.921669006347656
13.74333333333334,22.53669261932373
6.8433333333333195,26.20893955230713
24.226666666666674,14.764847755432129
7.0533333333333275,23.03079128265381
12.766666666666666,18.845982551574707
13.523333333333326,20.71516990661621
11.136666666666656,17.071967124938965
11.826666666666668,23.501887321472168
13.459999999999994,11.464896202087402
10.566666666666677,16.536927223205566
10.495000000000005,18.923816680908203
41.21666666666667,16.106739044189453
11.216666666666654,17.34729766845703
10.980000000000004,24.418163299560547
10.519999999999996,17.19028949737549
12.66000000000001,18.653268814086914
6.5166666666666515,26.66585922241211
24.89,16.09571933746338
6.700000000000003,25.964865684509277
12.08999999999999,21.165223121643066
19.83666666666666,13.977012634277344
38.00666666666667,17.346644401550293
12.396666666666661,12.488727569580078
19.286666666666676,26.182804107666016
10.516666666666666,13.02624225616455
15.929999999999993,9.824671745300293
46.86666666666667,20.813560485839844
6.290000000000006,23.287081718444824
10.49666666666667,13.158020973205566
15.993333333333325,9.806761741638184
6.433333333333337,20.17059326171875
