candidate_sampler,surrogate_model
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.5,0
0.0,0
0.0,0
0.5,0
0.0,0
0.0,0
0.0,0
0.5,0
0.5,0
0.0,0
0.5,0
0.5,0
0.0,0
0.5,0
0.6666666666666666,0
0.0,0
0.5,0
0.6666666666666666,0
0.5,0
0.0,0
0.5,0
0.5,0
0.5,0
0.5,0
0.0,0
0.6666666666666666,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.0,0
0.5,0
0.75,0
0.75,0
0.75,0
0.5,0
0.5,0
0.5,0
0.5,0
0.0,0
0.0,0
0.5,0
0.5,0
0.5,0
0.5,0
0.6666666666666666,0
0.6666666666666666,0
0.6666666666666666,0
0.8,0
0.5,0
0.6666666666666666,0
0.75,0
0.6666666666666666,0
0.6666666666666666,0
0.5,0
0.5,0
0.75,0
0.6666666666666666,0
0.6666666666666666,0
0.75,0
0.8,0
0.5,0
0.0,0
0.5,0
0.5,0
0.0,0
0.8,0
0.5,0
0.8,0
0.5,0
0.6666666666666666,0
0.6666666666666666,0
0.6666666666666666,0
0.75,0
0.5,0
0.8,0
0.75,0
0.875,0
