error,latency
10.579999999999998,2.98256
10.939999999999998,2.16336
6.939999999999998,3.83056
6.546666666666667,3.42096
47.68,2.77136
13.203333333333333,1.13296
13.294999999999987,1.13296
13.626666666666665,1.13296
20.045,1.54256
90.0,2.46736
19.94666666666666,1.54256
90.0,1.13296
19.900000000000006,1.95216
90.0,1.13296
12.323333333333338,1.64816
24.556666666666658,1.54256
15.780000000000001,1.54256
13.620000000000005,1.54256
90.0,1.13296
20.58333333333333,1.95216
90.0,1.13296
20.75,2.46736
20.53,1.54256
20.436666666666653,1.95216
29.10333333333334,1.13296
37.46,1.95216
10.310000000000002,2.05776
13.490000000000009,1.13296
13.61,1.13296
13.34333333333332,1.13296
20.205000000000013,1.95216
48.31333333333333,2.77136
90.0,1.54256
12.896666666666661,2.05776
13.586666666666659,1.13296
90.0,1.13296
13.389999999999986,1.54256
90.0,1.13296
31.41333333333334,1.54256
45.525,2.36176
24.709999999999994,1.95216
26.459999999999994,1.95216
13.413333333333341,1.54256
90.0,1.95216
15.769999999999996,1.13296
90.0,1.54256
26.17500000000001,1.95216
90.0,1.54256
24.095,1.95216
13.420000000000002,2.05776
39.89,1.95216
15.664999999999992,1.54256
37.61333333333334,1.95216
13.61,1.13296
90.0,2.36176
13.544999999999987,1.54256
24.040000000000006,1.54256
13.41000000000001,1.54256
90.0,1.54256
24.33,1.54256
13.396666666666661,1.54256
15.623333333333335,1.13296
90.0,1.13296
13.623333333333335,1.13296
90.0,1.54256
20.230000000000004,1.54256
13.616666666666674,1.95216
13.466666666666654,1.13296
24.799999999999997,1.95216
46.54333333333333,1.95216
90.0,1.13296
37.00666666666667,1.95216
90.0,1.13296
45.70333333333334,1.13296
13.689999999999998,1.13296
19.956666666666663,1.54256
24.205,1.54256
24.75333333333333,1.54256
29.39666666666666,1.13296
27.013333333333335,1.95216
24.42,1.54256
13.493333333333325,1.54256
19.653333333333336,1.54256
90.0,1.13296
26.38666666666667,2.36176
13.779999999999987,1.54256
25.200000000000003,1.54256
13.436666666666667,1.13296
13.383333333333326,1.13296
19.209999999999994,1.54256
37.083333333333336,1.54256
90.0,1.54256
15.730000000000004,1.54256
26.27000000000001,1.95216
24.266666666666666,1.54256
90.0,1.54256
20.076666666666668,1.95216
90.0,1.13296
15.944999999999993,1.54256
30.74666666666667,1.54256
24.706666666666663,1.54256
