candidate_sampler,surrogate_model,placebo_time_taken,trial_total_time
66.81795382499695,156.97876167297363,0,223.79671549797058
93.95055937767029,133.35785913467407,0,227.30841851234436
80.23440480232239,212.51013374328613,0,292.7445385456085
152.6170961856842,67.33529877662659,0,219.9523949623108
111.29202175140381,119.7286627292633,0,231.02068448066711
68.06468558311462,606.0829253196716,0,674.1476109027863
71.82399392127991,169.66075587272644,0,241.48474979400635
80.97895908355713,206.5275366306305,0,287.5064957141876
102.79978203773499,188.8777995109558,0,291.6775815486908
104.94358921051025,130.62274861335754,0,235.5663378238678
126.63507556915283,119.44467687606812,0,246.07975244522095
107.15932655334473,306.9579858779907,0,414.11731243133545
69.17998003959656,145.74212408065796,0,214.92210412025452
70.39176273345947,87.2753574848175,0,157.66712021827698
83.16553378105164,187.42284512519836,0,270.58837890625
227.1645929813385,88.12065386772156,0,315.28524684906006
85.02208089828491,324.41490149497986,0,409.43698239326477
212.53358554840088,99.9212417602539,0,312.4548273086548
64.17751598358154,159.7329216003418,0,223.91043758392334
98.979088306427,39.91806125640869,0,138.8971495628357
409.6184968948364,156.76745772361755,0,566.385954618454
75.71523809432983,407.00401639938354,0,482.7192544937134
69.00744795799255,166.771386384964,0,235.77883434295654
83.48735308647156,460.6829164028168,0,544.1702694892883
249.48746991157532,520.5907752513885,0,770.0782451629639
129.73105216026306,141.79702973365784,0,271.5280818939209
44.17353010177612,172.89278388023376,0,217.0663139820099
92.8150372505188,148.3828363418579,0,241.1978735923767
79.66599726676941,192.1520516872406,0,271.81804895401
132.9577600955963,380.53723311424255,0,513.4949932098389
52.11630916595459,103.43715500831604,0,155.55346417427063
123.42543530464172,184.11063599586487,0,307.5360713005066
93.07469177246094,106.8490858078003,0,199.92377758026123
74.07420945167542,106.80736088752747,0,180.88157033920288
216.94506764411926,112.72449731826782,0,329.6695649623871
76.2101457118988,163.89703607559204,0,240.10718178749084
82.15280556678772,154.56114506721497,0,236.71395063400269
215.6130404472351,113.87312579154968,0,329.4861662387848
184.93619227409363,259.7425103187561,0,444.67870259284973
134.49710273742676,142.10343623161316,0,276.6005389690399
69.34929347038269,82.60946774482727,0,151.95876121520996
89.39302110671997,120.66714215278625,0,210.06016325950623
110.67494010925293,105.50217413902283,0,216.17711424827576
315.8279137611389,140.54428577423096,0,456.3721995353699
170.29812455177307,305.0772135257721,0,475.37533807754517
205.02559852600098,77.25241780281067,0,282.27801632881165
117.75183653831482,44.77203726768494,0,162.52387380599976
169.5014762878418,94.28170657157898,0,263.7831828594208
188.69201612472534,244.12200331687927,0,432.8140194416046
262.1860046386719,428.97505807876587,0,691.1610627174377
68.80792498588562,137.64342832565308,0,206.4513533115387
93.96380305290222,136.55079245567322,0,230.51459550857544
93.82569122314453,122.7526466846466,0,216.57833790779114
204.4431746006012,140.99964928627014,0,345.44282388687134
137.51621413230896,237.47054266929626,0,374.9867568016052
542.5294559001923,171.93761801719666,0,714.4670739173889
140.59087586402893,315.66722679138184,0,456.25810265541077
115.83040809631348,221.25013256072998,0,337.08054065704346
166.73143982887268,192.90837335586548,0,359.63981318473816
177.2693419456482,102.25820875167847,0,279.52755069732666
151.27041268348694,166.86535382270813,0,318.13576650619507
110.22076725959778,324.06243777275085,0,434.28320503234863
255.46982717514038,205.220440864563,0,460.69026803970337
89.90917634963989,151.11522579193115,0,241.02440214157104
235.852530002594,212.94995617866516,0,448.80248618125916
314.57985186576843,193.05933165550232,0,507.63918352127075
81.98430013656616,177.85560512542725,0,259.8399052619934
169.14194631576538,444.4341413974762,0,613.5760877132416
59.89773678779602,111.97808241844177,0,171.8758192062378
156.50169205665588,229.98012328147888,0,386.48181533813477
198.333749294281,255.92695212364197,0,454.260701417923
101.65872573852539,434.13415336608887,0,535.7928791046143
225.52146697044373,209.5915002822876,0,435.1129672527313
82.22927451133728,193.94355154037476,0,276.17282605171204
47.663936614990234,168.90392684936523,0,216.56786346435547
395.2910237312317,266.83356070518494,0,662.1245844364166
91.60539698600769,130.6718089580536,0,222.27720594406128
86.1475100517273,212.39463829994202,0,298.5421483516693
187.15587854385376,109.12221169471741,0,296.27809023857117
126.29296898841858,172.73158931732178,0,299.02455830574036
303.6683876514435,157.30410957336426,0,460.97249722480774
58.69841027259827,335.72947430610657,0,394.42788457870483
81.93936967849731,224.13415694236755,0,306.07352662086487
173.11609435081482,158.95082092285156,0,332.0669152736664
302.9178509712219,108.02548027038574,0,410.94333124160767
342.69086360931396,459.5540587902069,0,802.2449223995209
69.28109645843506,131.37832593917847,0,200.65942239761353
223.6551594734192,198.49200105667114,0,422.14716053009033
168.37316274642944,105.43148016929626,0,273.8046429157257
279.92340660095215,199.6365692615509,0,479.55997586250305
308.69088077545166,123.19496893882751,0,431.8858497142792
87.5823917388916,207.87917470932007,0,295.46156644821167
211.76151299476624,80.57903933525085,0,292.3405523300171
80.23421621322632,396.19603395462036,0,476.4302501678467
300.5812916755676,241.85352730751038,0,542.434818983078
542.8410713672638,131.54138946533203,0,674.3824608325958
