surrogate_model_prediction,benchmark_evaluation
,"{'Latency': 10.22798066536869, 'Perplexity': 27.375566482543945}"
,"{'Latency': 16.58344049872361, 'Perplexity': 21.006528854370117}"
,"{'Latency': 6.951404337688136, 'Perplexity': 36.16046905517578}"
,"{'Latency': 15.036394519036232, 'Perplexity': 21.738048553466797}"
,"{'Latency': 12.0203955317383, 'Perplexity': 26.37956428527832}"
,"{'Latency': 14.80254295039928, 'Perplexity': 21.998172760009766}"
,"{'Latency': 9.290799174423311, 'Perplexity': 34.61069869995117}"
,"{'Latency': 8.902829326810192, 'Perplexity': 29.014238357543945}"
,"{'Latency': 14.616715450370876, 'Perplexity': 21.796764373779297}"
,"{'Latency': 10.049569090717373, 'Perplexity': 34.532230377197266}"
,"{'Latency': 15.648798826053017, 'Perplexity': 21.7912654876709}"
,"{'Latency': 10.601518724535156, 'Perplexity': 26.806978225708008}"
,"{'Latency': 8.306173068036127, 'Perplexity': 34.945526123046875}"
,"{'Latency': 12.025215754261044, 'Perplexity': 26.37956428527832}"
,"{'Latency': 10.649367939209604, 'Perplexity': 26.52090072631836}"
,"{'Latency': 9.923366151584887, 'Perplexity': 34.70760726928711}"
,"{'Latency': 11.49022807475658, 'Perplexity': 26.300336837768555}"
,"{'Latency': 8.237601039048773, 'Perplexity': 35.320709228515625}"
,"{'Latency': 13.63762105406647, 'Perplexity': 23.490896224975586}"
,"{'Latency': 10.624581638266765, 'Perplexity': 26.52090072631836}"
,"{'Latency': 16.03915678475386, 'Perplexity': 21.470380783081055}"
,"{'Latency': 7.546119217608534, 'Perplexity': 35.48784637451172}"
,"{'Latency': 15.336877515951196, 'Perplexity': 21.624847412109375}"
,"{'Latency': 15.21259890589116, 'Perplexity': 21.50094985961914}"
,"{'Latency': 10.734456216234408, 'Perplexity': 28.250078201293945}"
,"{'Latency': 8.528849020735233, 'Perplexity': 35.257503509521484}"
,"{'Latency': 15.768329395465136, 'Perplexity': 21.449726104736328}"
,"{'Latency': 11.189970408204156, 'Perplexity': 26.462804794311523}"
,"{'Latency': 9.804964701640431, 'Perplexity': 28.322376251220703}"
,"{'Latency': 14.679594197660547, 'Perplexity': 21.91261863708496}"
,"{'Latency': 8.955992458508948, 'Perplexity': 27.18033218383789}"
,"{'Latency': 15.686528416907855, 'Perplexity': 21.816408157348633}"
,"{'Latency': 10.18174043450693, 'Perplexity': 28.299715042114258}"
,"{'Latency': 7.625645370236371, 'Perplexity': 35.579524993896484}"
,"{'Latency': 14.633706404119941, 'Perplexity': 22.774919509887695}"
,"{'Latency': 10.574601375874009, 'Perplexity': 28.242568969726562}"
,"{'Latency': 14.85157056745206, 'Perplexity': 22.152299880981445}"
,"{'Latency': 7.796961550986592, 'Perplexity': 35.33576583862305}"
,"{'Latency': 8.480709496755617, 'Perplexity': 35.24250411987305}"
,"{'Latency': 16.27539338189694, 'Perplexity': 21.39499855041504}"
,"{'Latency': 13.305666530645146, 'Perplexity': 23.526899337768555}"
,"{'Latency': 10.251529289820693, 'Perplexity': 26.8625545501709}"
,"{'Latency': 15.197766141545511, 'Perplexity': 21.50094985961914}"
,"{'Latency': 8.631528501368434, 'Perplexity': 27.792736053466797}"
,"{'Latency': 11.01730288574624, 'Perplexity': 26.769933700561523}"
,"{'Latency': 9.610557543332812, 'Perplexity': 27.717002868652344}"
,"{'Latency': 8.166488789904143, 'Perplexity': 35.678260803222656}"
,"{'Latency': 14.39021066687937, 'Perplexity': 22.358980178833008}"
,"{'Latency': 9.94695945045555, 'Perplexity': 27.66492462158203}"
,"{'Latency': 13.766615489083907, 'Perplexity': 22.258546829223633}"
,"{'Latency': 8.175969135028248, 'Perplexity': 34.91612243652344}"
,"{'Latency': 10.193993969671066, 'Perplexity': 27.013141632080078}"
,"{'Latency': 15.207789505904387, 'Perplexity': 22.549652099609375}"
,"{'Latency': 7.991530686856001, 'Perplexity': 35.11920928955078}"
,"{'Latency': 16.770215222613267, 'Perplexity': 20.92825698852539}"
,"{'Latency': 16.188415061410936, 'Perplexity': 22.453214645385742}"
,"{'Latency': 9.004871941096232, 'Perplexity': 28.145845413208008}"
,"{'Latency': 8.828253158755386, 'Perplexity': 34.66606140136719}"
,"{'Latency': 14.850407526100973, 'Perplexity': 21.672687530517578}"
,"{'Latency': 10.875379975471272, 'Perplexity': 26.559097290039062}"
,"{'Latency': 17.298657513554186, 'Perplexity': 20.903074264526367}"
,"{'Latency': 9.635075821896901, 'Perplexity': 26.866600036621094}"
,"{'Latency': 15.239926697402614, 'Perplexity': 21.591279983520508}"
,"{'Latency': 8.884810762398798, 'Perplexity': 34.958106994628906}"
,"{'Latency': 15.015512187647705, 'Perplexity': 21.891597747802734}"
,"{'Latency': 10.389391737669573, 'Perplexity': 28.301725387573242}"
,"{'Latency': 14.119964207823287, 'Perplexity': 22.20450782775879}"
,"{'Latency': 10.354078475580723, 'Perplexity': 27.26119041442871}"
,"{'Latency': 15.653765063006094, 'Perplexity': 22.501977920532227}"
