surrogate_model_prediction,benchmark_evaluation
,"{'Latency': 10.58562331200007, 'Perplexity': 26.806978225708008}"
,"{'Latency': 16.600587498146698, 'Perplexity': 21.006528854370117}"
,"{'Latency': 7.198081906237115, 'Perplexity': 36.15555953979492}"
,"{'Latency': 8.59332397864349, 'Perplexity': 29.208486557006836}"
,"{'Latency': 16.23741331738911, 'Perplexity': 21.090797424316406}"
,"{'Latency': 10.542363885410186, 'Perplexity': 26.44355583190918}"
,"{'Latency': 7.846593837908844, 'Perplexity': 35.11110305786133}"
,"{'Latency': 11.677343123269065, 'Perplexity': 26.392730712890625}"
,"{'Latency': 12.939575321856884, 'Perplexity': 23.583545684814453}"
,"{'Latency': 7.244426129803549, 'Perplexity': 35.2823600769043}"
,"{'Latency': 15.666441300303736, 'Perplexity': 21.373018264770508}"
,"{'Latency': 8.480177483467168, 'Perplexity': 34.746524810791016}"
,"{'Latency': 15.49417754846238, 'Perplexity': 21.933944702148438}"
,"{'Latency': 10.625067488227403, 'Perplexity': 26.52090072631836}"
,"{'Latency': 15.003779134762361, 'Perplexity': 22.186922073364258}"
,"{'Latency': 7.629932465353349, 'Perplexity': 35.32380676269531}"
,"{'Latency': 7.547415679012344, 'Perplexity': 35.597328186035156}"
,"{'Latency': 16.294498297250765, 'Perplexity': 21.39499855041504}"
,"{'Latency': 10.377982867636096, 'Perplexity': 28.301725387573242}"
,"{'Latency': 8.005950914847638, 'Perplexity': 35.312652587890625}"
,"{'Latency': 15.761698507632298, 'Perplexity': 21.928735733032227}"
,"{'Latency': 9.269450484983604, 'Perplexity': 34.61069869995117}"
,"{'Latency': 9.427840524818153, 'Perplexity': 27.983701705932617}"
,"{'Latency': 13.300228995473113, 'Perplexity': 23.526899337768555}"
,"{'Latency': 9.037280131952032, 'Perplexity': 34.86747741699219}"
,"{'Latency': 10.187535625096595, 'Perplexity': 26.929651260375977}"
,"{'Latency': 14.144054096381414, 'Perplexity': 22.813135147094727}"
,"{'Latency': 15.798272766054048, 'Perplexity': 21.532073974609375}"
,"{'Latency': 9.66147310779012, 'Perplexity': 27.924177169799805}"
,"{'Latency': 11.331349167231501, 'Perplexity': 26.52617835998535}"
,"{'Latency': 13.708778362719846, 'Perplexity': 22.47488784790039}"
,"{'Latency': 9.174176865953141, 'Perplexity': 34.674983978271484}"
,"{'Latency': 15.78496112598845, 'Perplexity': 22.497568130493164}"
,"{'Latency': 10.839008073516249, 'Perplexity': 26.579675674438477}"
,"{'Latency': 9.32464461442723, 'Perplexity': 27.985191345214844}"
,"{'Latency': 11.18162830990013, 'Perplexity': 26.462804794311523}"
,"{'Latency': 15.668533084662847, 'Perplexity': 21.948707580566406}"
,"{'Latency': 9.834999521142635, 'Perplexity': 26.988439559936523}"
,"{'Latency': 10.250261271325913, 'Perplexity': 27.549362182617188}"
,"{'Latency': 9.966577161937172, 'Perplexity': 26.825807571411133}"
,"{'Latency': 14.58436426250619, 'Perplexity': 21.796764373779297}"
,"{'Latency': 9.298321048695263, 'Perplexity': 34.61069869995117}"
,"{'Latency': 11.340417734469838, 'Perplexity': 26.385183334350586}"
,"{'Latency': 9.893509725231782, 'Perplexity': 27.53711700439453}"
,"{'Latency': 16.678132040854038, 'Perplexity': 21.184289932250977}"
,"{'Latency': 9.822050748536494, 'Perplexity': 27.468950271606445}"
,"{'Latency': 14.5150786685178, 'Perplexity': 22.319719314575195}"
,"{'Latency': 11.753141874208977, 'Perplexity': 27.245450973510742}"
,"{'Latency': 13.781593016721573, 'Perplexity': 22.258546829223633}"
,"{'Latency': 15.277401791867316, 'Perplexity': 21.591279983520508}"
,"{'Latency': 9.337158590699186, 'Perplexity': 35.35655975341797}"
,"{'Latency': 16.67195745789776, 'Perplexity': 21.009531021118164}"
,"{'Latency': 10.077761491442311, 'Perplexity': 27.897729873657227}"
,"{'Latency': 9.359944565689947, 'Perplexity': 34.6908073425293}"
,"{'Latency': 15.37578475223891, 'Perplexity': 21.66954231262207}"
,"{'Latency': 14.874650835513341, 'Perplexity': 21.85015296936035}"
,"{'Latency': 9.023001600185575, 'Perplexity': 35.001060485839844}"
,"{'Latency': 10.520731647846217, 'Perplexity': 26.618213653564453}"
,"{'Latency': 14.16118739466222, 'Perplexity': 22.20450782775879}"
,"{'Latency': 10.108383407218193, 'Perplexity': 27.66893196105957}"
,"{'Latency': 10.610692829581605, 'Perplexity': 27.521249771118164}"
,"{'Latency': 16.239442532849864, 'Perplexity': 21.146081924438477}"
,"{'Latency': 15.721094990644199, 'Perplexity': 21.2936954498291}"
,"{'Latency': 8.173598302121334, 'Perplexity': 34.91612243652344}"
,"{'Latency': 8.906821690862076, 'Perplexity': 29.040376663208008}"
,"{'Latency': 16.331991578561293, 'Perplexity': 21.060346603393555}"
,"{'Latency': 11.188335371737411, 'Perplexity': 28.041471481323242}"
,"{'Latency': 16.903441982925717, 'Perplexity': 21.050233840942383}"
,"{'Latency': 8.812380453948366, 'Perplexity': 35.18803024291992}"
,"{'Latency': 8.591308083937195, 'Perplexity': 29.06556510925293}"
,"{'Latency': 10.524617417616966, 'Perplexity': 27.194684982299805}"
,"{'Latency': 8.183013000539747, 'Perplexity': 35.029502868652344}"
,"{'Latency': 8.615037158529837, 'Perplexity': 27.792736053466797}"
,"{'Latency': 13.947416014265594, 'Perplexity': 22.66929054260254}"
,"{'Latency': 8.63664487165501, 'Perplexity': 27.792736053466797}"
,"{'Latency': 9.811792489586882, 'Perplexity': 28.322376251220703}"
,"{'Latency': 15.077111934589606, 'Perplexity': 21.996904373168945}"
,"{'Latency': 14.17220634382748, 'Perplexity': 22.204893112182617}"
,"{'Latency': 9.291488118365182, 'Perplexity': 26.98911476135254}"
,"{'Latency': 15.164532378885525, 'Perplexity': 21.949066162109375}"
,"{'Latency': 10.182617054298746, 'Perplexity': 28.299715042114258}"
,"{'Latency': 9.166773616916778, 'Perplexity': 34.78643035888672}"
,"{'Latency': 10.65619288146017, 'Perplexity': 27.130964279174805}"
