Latency,Perplexity
8.317395988899149,35.390625
9.936148889614643,27.499584197998047
14.60348133570909,22.18516731262207
8.50825675953474,35.196231842041016
14.06595789511618,22.331024169921875
11.039137704388791,26.530065536499023
16.897802901731055,21.263105392456055
11.351832942733479,26.59500503540039
9.855998491765874,27.077741622924805
9.867837340959516,27.379566192626953
11.120743512422985,26.6751708984375
15.56304995501472,21.686750411987305
9.262232125212401,28.114831924438477
6.944256259777197,36.16046905517578
10.94886638914397,26.594512939453125
10.46833902903069,26.5933780670166
10.521018390599744,26.65349006652832
7.0265828717488965,36.121429443359375
15.382369155142609,21.739805221557617
9.830461973645257,27.25834083557129
11.121753450092642,26.488853454589844
15.578563064743596,21.686750411987305
10.211042645434611,26.732542037963867
9.924106898590658,27.51152992248535
9.9371103486847,27.044130325317383
9.966106112887065,26.963607788085938
10.349934657831882,26.90131187438965
10.510862205613241,26.618213653564453
16.563258947790626,21.375450134277344
16.892180843115014,21.263105392456055
10.521605188814705,26.890077590942383
17.524376590655592,20.922269821166992
10.072867184812317,27.054243087768555
16.183310684905976,21.543243408203125
10.188777872188277,26.79890251159668
10.930080255596847,26.504783630371094
16.742769149395087,21.331987380981445
10.333036957585202,26.904541015625
8.667598000503276,29.001073837280273
10.898379995119265,26.52589988708496
7.76350758003745,35.16676330566406
16.300514224018332,21.32516098022461
10.027499817993673,26.934988021850586
15.955179321104188,21.49879264831543
9.665499402254042,28.49277687072754
10.612526972772446,26.57039451599121
10.983165383196983,26.51017189025879
16.876453394925633,21.263105392456055
16.755303087312384,21.331987380981445
16.85710659115279,21.263105392456055
11.218180835915424,26.572986602783203
