F1
-68106.5084425795
-157459.70315214357
-1806938.0023119862
-1418570.2354919077
-2176356.797304839
-127558.42325860131
-143556.70238328972
-419483.31635572744
-179823.6857273276
-80581.16327071926
-460467.50712792686
-322138.8333052995
-839435.3589967744
-343810.04404119996
-1067688.8510333213
-61322.39602822671
-76808.85018148515
-56207.74891737159
-34321.02440648097
-33383.475437119654
-166560.11801542254
-51626.69422214995
-61562.55716040007
-95615.94811264279
-51348.74636885572
-488439.23381195
-453266.50715944596
-242115.18899727918
-173111.80458244577
-30363.857108225337
-8924.926845016176
-8931.390203429459
-18505.919813301472
-14160.003151949406
-13690.558000925857
-14024.463795099979
-11959.899737969135
-4088.9007792578154
-10646.891277558962
-28508.293793366385
-16803.807953067753
-34568.25988516887
-3299.363009703455
-28142.02167418225
-15225.81815838726
-38948.48790063868
-29291.175594266297
-33193.93463173939
-42307.83638206168
-6894.488066620576
-4112.916019890631
-9379.379859491819
-27029.118149606587
-747.215121984565
-1409.4438485693963
-2046.022920637242
-2091.0594027902494
-1019.9146673153837
-1525.4009874777312
-1165.4021889102444
-1174.9517988542618
-1357.590561881184
-1269.3051244995431
-2463.7695563104508
-1742.0087083394822
-795.1205132181917
-593.9421427957172
-759.7592833742511
-879.0618621905523
-816.163721879685
-1007.5114769374774
-968.9329747682185
-1226.712471139427
-290.78889976012596
-472.39342065812406
-518.35244555563
-410.0962059161277
-428.4162482991603
-628.5813079464069
-301.61299417225
-631.656302736318
-599.0842031655482
-419.52557205326
-429.4752049526084
-434.0445414977615
-287.07433361686833
-352.80208204279336
-307.34245918062277
-261.75611504038005
-321.6819508839331
-326.8328383590586
-258.9918421042979
-320.26423309921194
-253.97713723847096
-205.54798530392227
-240.5617466514949
-267.2270905982264
-272.4890501781459
-272.66523103959906
-280.75173352389925
